Date,City,Area_Type,Water_Demand,Temperature,Rainfall,Population,Reservoir_Level,Water_Tariff,Weather,Season,Holiday
2022-01-01,Gwalior,Rural,880,20,0,1000000,3466,8,Sunny,Winter,0
2022-01-02,Ujjain,Urban,1057,17,2,700000,3769,9,Cloudy,Winter,0
2022-01-03,Indore,Urban,2525,14,0,2000000,7117,6,Sunny,Winter,0
2022-01-04,Bhopal,Urban,2157,24,1,1500000,3975,8,Cloudy,Winter,0
2022-01-05,Jabalpur,Urban,1146,13,0,800000,6556,8,Sunny,Winter,0
2022-01-06,Bhopal,Urban,1915,13,0,1500000,5061,7,Sunny,Winter,0
2022-01-07,Indore,Urban,2607,13,2,2000000,4478,9,Cloudy,Winter,0
2022-01-08,Jabalpur,Rural,735,13,1,800000,6073,7,Cloudy,Winter,0
2022-01-09,Indore,Urban,2673,22,2,2000000,3161,7,Cloudy,Winter,0
2022-01-10,Gwalior,Urban,1385,17,0,1000000,3878,6,Sunny,Winter,0
2022-01-11,Bhopal,Urban,1992,21,0,1500000,5062,6,Sunny,Winter,0
2022-01-12,Bhopal,Rural,1382,21,2,1500000,3391,8,Cloudy,Winter,0
2022-01-13,Jabalpur,Urban,1074,16,1,800000,6099,8,Cloudy,Winter,0
2022-01-14,Gwalior,Urban,1317,16,2,1000000,3804,8,Cloudy,Winter,0
2022-01-15,Jabalpur,Urban,1178,12,0,800000,5690,6,Sunny,Winter,0
2022-01-16,Jabalpur,Urban,1171,24,1,800000,4484,8,Cloudy,Winter,0
2022-01-17,Bhopal,Urban,1988,13,1,1500000,4678,8,Cloudy,Winter,0
2022-01-18,Ujjain,Urban,1029,20,2,700000,5625,7,Cloudy,Winter,0
2022-01-19,Bhopal,Urban,2123,21,1,1500000,4663,7,Cloudy,Winter,0
2022-01-20,Bhopal,Urban,1940,10,0,1500000,4306,7,Sunny,Winter,0
2022-01-21,Ujjain,Rural,775,16,1,700000,7744,7,Cloudy,Winter,0
2022-01-22,Jabalpur,Urban,1086,17,2,800000,6445,9,Cloudy,Winter,0
2022-01-23,Bhopal,Urban,2161,23,0,1500000,7659,9,Sunny,Winter,0
2022-01-24,Indore,Rural,1795,14,0,2000000,6152,8,Sunny,Winter,0
2022-01-25,Indore,Urban,2620,16,0,2000000,6474,7,Sunny,Winter,0
2022-01-26,Gwalior,Urban,1311,15,2,1000000,6510,8,Cloudy,Winter,0
2022-01-27,Bhopal,Rural,1351,17,0,1500000,3197,7,Sunny,Winter,0
2022-01-28,Bhopal,Urban,2014,20,1,1500000,4794,9,Cloudy,Winter,0
2022-01-29,Gwalior,Urban,1354,12,2,1000000,6219,9,Cloudy,Winter,0
2022-01-30,Bhopal,Urban,1977,16,1,1500000,7736,8,Cloudy,Winter,0
2022-01-31,Bhopal,Urban,2011,24,1,1500000,3262,9,Cloudy,Winter,0
2022-02-01,Bhopal,Urban,1930,10,1,1500000,6723,6,Cloudy,Winter,1
2022-02-02,Jabalpur,Urban,1186,18,2,800000,5255,8,Cloudy,Winter,0
2022-02-03,Bhopal,Urban,2139,20,0,1500000,4445,9,Sunny,Winter,0
2022-02-04,Jabalpur,Urban,1192,18,2,800000,5961,9,Cloudy,Winter,0
2022-02-05,Indore,Urban,2724,22,0,2000000,7493,6,Sunny,Winter,0
2022-02-06,Jabalpur,Urban,1058,10,2,800000,7565,8,Cloudy,Winter,0
