Reservoir_Name,Date,Rainfall_mm,Inflow_cumecs,Outflow_cumecs,Runoff_Factor,Storage_BCM,Capacity_Percentage
Indira Sagar,2014-01-01,0.0,0.12,1.05,0.56,4.7866,39.23
Indira Sagar,2014-01-02,0.0,0.28,1.15,0.56,4.6993,38.52
Indira Sagar,2014-01-03,0.0,0.25,1.8,0.56,4.5438,37.24
Indira Sagar,2014-01-04,0.0,0.26,1.47,0.56,4.4231,36.25
Indira Sagar,2014-01-05,0.0,0.34,1.34,0.56,4.3232,35.44
Indira Sagar,2014-01-06,0.0,0.41,1.63,0.56,4.2017,34.44
Indira Sagar,2014-01-07,0.0,0.11,1.03,0.56,4.1097,33.69
Indira Sagar,2014-01-08,0.0,0.19,1.63,0.56,3.9659,32.51
Indira Sagar,2014-01-09,0.0,0.15,1.4,0.56,3.8403,31.48
Indira Sagar,2014-01-10,0.0,0.11,1.27,0.56,3.7246,30.53
Indira Sagar,2014-01-11,0.0,0.28,1.36,0.56,3.6168,29.65
Indira Sagar,2014-01-12,1.77,5.3,1.69,0.56,3.978,32.61
Indira Sagar,2014-01-13,0.0,0.46,1.61,0.56,3.8628,31.66
Indira Sagar,2014-01-14,0.0,0.38,1.91,0.56,3.7093,30.4
Indira Sagar,2014-01-15,3.3,9.35,1.67,0.56,4.4768,36.7
Indira Sagar,2014-01-16,0.0,0.39,1.42,0.56,4.3736,35.85
Indira Sagar,2014-01-17,0.0,0.34,1.41,0.56,4.2667,34.97
Indira Sagar,2014-01-18,0.01,0.44,1.56,0.56,4.1547,34.05
Indira Sagar,2014-01-19,0.0,0.21,1.4,0.56,4.0357,33.08
Indira Sagar,2014-01-20,0.0,0.21,1.44,0.56,3.9132,32.08
Indira Sagar,2014-01-21,0.0,0.48,1.62,0.56,3.7992,31.14
Indira Sagar,2014-01-22,0.0,0.3,1.57,0.56,3.6722,30.1
Indira Sagar,2014-01-23,0.0,0.46,1.72,0.56,3.5469,29.07
Indira Sagar,2014-01-24,0.0,0.29,1.73,0.56,3.4023,27.89
Indira Sagar,2014-01-25,0.47,1.78,1.76,0.56,3.4046,27.91
Indira Sagar,2014-01-26,0.0,0.49,1.46,0.56,3.3081,27.12
Indira Sagar,2014-01-27,1.85,5.28,1.93,0.56,3.6433,29.86
Indira Sagar,2014-01-28,0.0,0.39,1.34,0.56,3.5489,29.09
Indira Sagar,2014-01-29,0.0,0.14,2.0,0.56,3.3629,27.56
Indira Sagar,2014-01-30,0.0,0.33,1.53,0.56,3.2428,26.58
Indira Sagar,2014-01-31,0.0,0.13,1.55,0.56,3.101,25.42
Indira Sagar,2014-02-01,0.0,0.14,1.89,0.56,2.9261,23.98
Indira Sagar,2014-02-02,0.01,0.28,1.56,0.56,2.7984,22.94
Indira Sagar,2014-02-03,0.0,0.5,1.86,0.56,2.6625,21.82
Indira Sagar,2014-02-04,0.0,0.48,1.34,0.56,2.5759,21.11
