jan-feb,feb,reservoirlevel,jan,nov,jul,apr,year,district,sep,state_ut_name,capacity,jun-sep,oct-dec,oct,may,outflow,mar-may,population,dec,inflow,aug,annual,jun,mar,Water_Demand
27.0,15.9,470.0,11.1,13.6,386.2,22.7,2015.5,BOLANGIR,220.5,ORISSA,725.0,1174.1,89.4,69.5,37.5,97.5,80.3,2371061.0,6.3,120.0,366.9,1370.8,200.5,20.1,474145.9621415301
19.8,15.0,470.0,4.8,13.4,368.5,25.6,2015.5,KALAHANDI,229.8,ORISSA,725.0,1207.6,90.5,72.3,44.2,97.5,85.1,2371061.0,4.8,120.0,371.8,1403.0,237.5,15.3,474136.39235698833
35.6,16.3,470.0,19.3,8.8,368.3,14.4,2015.5,SUNDARGARH,217.5,ORISSA,725.0,1175.9,64.3,50.4,39.6,97.5,72.0,2371061.0,5.1,120.0,373.2,1347.8,216.9,18.0,474149.77188538096
24.3,11.8,470.0,12.5,14.8,347.3,24.0,2015.5,NAWAPARA,184.9,ORISSA,725.0,1017.2,81.1,60.7,33.9,97.5,74.8,2371061.0,5.6,120.0,302.1,1197.4,182.9,16.9,474173.5652985641
23.6,14.9,470.0,8.7,6.8,362.1,14.8,2015.5,BARGARH,217.9,ORISSA,725.0,1125.8,63.1,51.2,19.5,97.5,52.4,2371061.0,5.1,120.0,357.4,1264.9,188.4,18.1,474149.2434662528
37.8,21.2,470.0,16.6,10.1,402.3,18.4,2015.5,JHARSUGUDA,239.1,ORISSA,725.0,1281.8,81.1,63.8,36.6,97.5,73.6,2371061.0,7.2,120.0,415.8,1474.3,224.6,18.6,474128.30363043054
20.3,14.3,470.0,6.0,6.7,380.4,14.3,2015.5,SONEPUR,252.3,ORISSA,725.0,1243.4,68.5,56.9,30.4,97.5,63.2,2371061.0,4.9,120.0,432.5,1395.4,178.2,18.5,474154.3271281551
25.5,13.7,470.0,11.8,14.0,308.1,19.0,2015.5,BOKARO,250.7,JHARKHAND,725.0,1048.2,98.3,77.9,38.2,97.5,75.5,2371061.0,6.4,120.0,300.8,1247.5,188.6,18.3,474160.99934729154
29.4,17.4,470.0,12.0,10.5,340.3,18.2,2015.5,DHANBAD,271.1,JHARKHAND,725.0,1122.3,116.2,99.5,49.6,97.5,87.3,2371061.0,6.2,120.0,310.0,1355.2,200.9,19.5,474137.86025614064
29.4,15.3,470.0,14.1,7.9,317.5,11.7,2015.5,HAZARIBAG,221.9,JHARKHAND,725.0,1005.9,98.7,81.8,35.5,97.5,62.0,2371061.0,9.0,120.0,289.6,1196.0,176.9,14.8,474163.9006004359
30.1,12.8,470.0,17.3,5.7,306.7,7.1,2015.5,PALAMU,228.6,JHARKHAND,725.0,974.5,58.3,46.6,15.1,97.5,33.0,2371061.0,6.0,120.0,298.9,1095.9,140.3,10.8,474163.85082307184
48.7,26.8,470.0,21.9,11.9,357.1,23.6,2015.5,RANCHI,241.6,JHARKHAND,725.0,1160.2,100.7,78.7,48.3,97.5,93.6,2371061.0,10.1,120.0,344.1,1403.2,217.4,21.7,474133.0977024643
25.5,12.1,470.0,13.4,9.5,293.4,13.5,2015.5,DEOGHAR,243.6,JHARKHAND,725.0,976.2,89.3,76.5,48.0,97.5,71.1,2371061.0,3.3,120.0,266.9,1162.1,172.3,9.6,474164.28462271567
21.4,9.9,470.0,11.5,8.0,342.9,18.0,2015.5,GIRIDIH,239.8,JHARKHAND,725.0,1065.0,94.0,80.3,40.6,97.5,72.3,2371061.0,5.7,120.0,275.8,1252.7,206.5,13.7,474133.6721975534
21.4,9.9,470.0,11.5,8.0,294.5,20.7,2015.5,GODDA,225.0,JHARKHAND,725.0,943.2,93.8,78.7,54.4,97.5,86.0,2371061.0,7.1,120.0,253.0,1144.4,170.7,10.9,474146.3858216749
